OBJECTID;DT_MAJ_GDUNO;COMBINE_NUO_NUI;CD_ORGNS;NOM_COURT_ORGNS;NOM_OFFCL_ORGNS;ADRS_GEO_L1_GDUNO_ORGNS;ADRS_GEO_L2_GDUNO_ORGNS;CD_POSTL_GDUNO_ORGNS;CD_MUNCP_GDUNO_ORGNS;NOM_MUNCP_GDUNO_ORGNS;CD_IMM;NOM_IMM;ADRS_GEO_L1_GDUNO_IMM;ADRS_GEO_L2_GDUNO_IMM;CD_MUNCP_GDUNO_IMM;NOM_MUNCP_GDUNO_IMM;CD_POSTL_GDUNO_IMM;PRESC;PRIM;SEC;FORM_PRO;ADULTE;SITE_WEB_ORGNS;COORD_X_LL84_IMM;COORD_Y_LL84_IMM;ORDRE_ENS;CD_CS;TYPE_CS;STYLE_CART
853;20200706;121561069;821140;N-D.-de-L'Ass. - La Francolière;École Notre-Dame-de-L'Assomption - La Francolière;605, chemin Saint-François Ouest;;G0R3A0;18060;Saint-François-de-la-Rivière-du-Sud;821040;Notre-Dame-de-l'Assomption;1, rue du Couvent;;18065;Berthier-sur-Mer;G0R1E0;1;1;0;0;0;http://nda-lafrancoliere.cscotesud.qc.ca/;-70.732883;46.925552;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
854;20200706;121571070;821142;École des Tilleuls;École des Tilleuls;620, rue Principale;;G0R4B0;61020;Saint-Pierre;821042;Tilleuls, des;620, rue Principale;;18055;Saint-Pierre-de-la-Rivière-du-Sud;G0R4B0;1;1;0;0;0;http://destilleuls.cscotesud.qc.ca/;-70.628714;46.915299;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
855;20200706;121961071;821383;CEA de Montmagny-L'Islet-Nord;Centre d'éducation des adultes de Montmagny - L'Islet-Nord;111, rue Saint-Pierre;;G5V2P7;18050;Montmagny;821041;Francolière, de la;605, rue Saint-François Ouest;;18060;Saint-François-de-la-Rivière-du-Sud;G0R3A0;0;0;0;0;1;http://ceamontmagnylislet.cscotesud.qc.ca/;-70.716703;46.88425;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
856;20200706;121561071;821140;N-D.-de-L'Ass. - La Francolière;École Notre-Dame-de-L'Assomption - La Francolière;605, chemin Saint-François Ouest;;G0R3A0;18060;Saint-François-de-la-Rivière-du-Sud;821041;Francolière, de la;605, rue Saint-François Ouest;;18060;Saint-François-de-la-Rivière-du-Sud;G0R3A0;1;1;0;0;0;http://nda-lafrancoliere.cscotesud.qc.ca/;-70.716703;46.88425;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
857;20200706;9912990;734012;École de la Farandole;École de la Farandole;139, rue Bertrand;;G1B1H8;23027;Québec;734012;Farandole, de la;139, rue Bertrand;;23027;Québec;G1B1H8;1;1;0;0;0;;-71.190748;46.903184;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
858;20200706;9973991;734373;Centre de formation générale des adultes;Centre de formation générale des adultes;742, boulevard Louis-XIV;;G1H4M7;23027;Québec;734070;Nouvel Horizon - CEA;3255, boulevard Mgr Gauthier;;23027;Québec;G1E2W3;0;0;0;0;1;;-71.208805;46.851075;Éducation aux adultes;734000;Franco;9_OrgImm_Franco_Adu
859;20200706;122021027;821447;CFP de l'Envolée;Centre de formation professionnelle de l'Envolée;141, boulevard Taché Est;;G5V1B9;18050;Montmagny;821084;Siège social;157, rue Saint-Louis;;18050;Montmagny;G5V4N3;0;0;0;1;0;http://www.cfpenvolee.com/;-70.553676;46.980914;Formation professionnelle;821000;Franco;8_OrgImm_Franco_Fp
860;20200706;121961027;821383;CEA de Montmagny-L'Islet-Nord;Centre d'éducation des adultes de Montmagny - L'Islet-Nord;111, rue Saint-Pierre;;G5V2P7;18050;Montmagny;821084;Siège social;157, rue Saint-Louis;;18050;Montmagny;G5V4N3;0;0;0;0;1;http://ceamontmagnylislet.cscotesud.qc.ca/;-70.553676;46.980914;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
861;20200706;121931029;821378;CEA de L'Islet-Sud;Centre d'éducation des adultes de L'Islet-Sud;240, rue Saint-Pierre;;G0R3X0;17010;Saint-Pamphile;821077;Rencontre, secondaire de la;240, rue Saint-Pierre;;17010;Saint-Pamphile;G0R3X0;0;0;0;0;1;http://www.cscotesud.qc.ca/;-69.791031;46.960064;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
862;20200706;121871029;821277;École secondaire de la Rencontre;École secondaire de la Rencontre;240, rue Saint-Pierre;;G0R3X0;17010;Saint-Pamphile;821077;Rencontre, secondaire de la;240, rue Saint-Pierre;;17010;Saint-Pamphile;G0R3X0;0;0;1;0;0;http://larencontre.cscotesud.qc.ca/;-69.791031;46.960064;Secondaire;821000;Franco;3_OrgImm_Franco_secondaire
